Row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
A,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
B,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
C,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
D,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
E,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
F,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
G,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
H,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
I,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
J,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
K,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
L,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
O,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
P,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
R,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
